  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      423        0.886        5.660            0      327.756      105.935      197.879
      424        0.922        5.649            0      324.490      118.020      194.703
      425        0.837        5.654            0      325.072      116.634      196.803
      426        0.939        5.729            0      326.016      126.630      196.288
      427        0.850        5.576            0      324.432      119.758      196.810
      428        0.735        5.612            0      325.692      118.502      200.956
      429        0.787        5.639            0      324.923      122.919      205.102
      430        0.763        5.619            0      326.081      125.970      200.917
      431        0.811        5.605            0      327.091      106.668      203.437
      432        0.775        5.607            0      327.839      125.985      208.613
      433        0.763        5.535            0      323.693      124.922      203.372
      434        0.687        5.553            0      324.375      121.039      203.193
      435        0.802        5.597            0      325.090      121.868      199.060
      436        0.929        5.659            0      327.050      124.394      197.430
      437        0.912        5.629            0      325.257      122.084      199.628
      438        0.854        5.634            0      325.619      138.761      201.157
      439        0.826        5.632            0      325.459      129.517      202.780
      440        0.893        5.625            0      324.899      112.817      198.298
      441        0.915        5.663            0      325.088      124.722      198.699
      442        0.813        5.657            0      327.232      117.213      201.521
      443        0.830        5.661            0      326.538      124.807      202.257
      444        1.030        5.557            0      321.857      149.266      198.327
      445        0.840        5.667            0      325.792      130.950      201.900
      446        0.761        5.651            0      326.758      131.199      199.761
      447        0.832        5.525            0      323.556      120.808      197.417
      448        0.844        5.627            0      328.012      123.706      202.506
      449        0.802        5.673            0      324.652      112.309      196.452
      450        0.835        5.646            0      323.631      129.897      196.810
      451        0.799        5.557            0      326.428      147.173      206.068
      452        0.957        5.584            0      322.202      111.409      194.679
      453        0.792        5.580            0      323.449      112.606      203.504
      454        0.895        5.688            0      325.260      109.645      199.238
      455        0.824        5.672            0      324.559      101.675      202.896
      456        0.907        5.669            0      327.041      110.812      203.609
      457        0.865        5.570            0      325.104      102.674      197.790
      458        0.830        5.616            0      327.405      107.274      200.312
      459        0.747        5.559            0      325.197      115.076      205.561
      460        0.796        5.559            0      324.506      130.432      203.699
      461        0.783        5.557            0      322.376      128.735      200.257
      462        0.797        5.624            0      326.171      138.987      199.972
      463        0.844        5.735            0      327.786      122.838      204.629
      464        0.749        5.587            0      324.412      123.290      203.034
      465        1.008        5.496            0      324.307      133.713      198.266
      466        0.810        5.579            0      326.182      109.432      201.335
      467        0.784        5.605            0      327.338      125.945      202.751
      468        0.885        5.685            0      325.968      126.670      201.514
      469        0.822        5.639            0      324.433      150.996      198.251
      470        0.763        5.555            0      326.272      128.002      201.095
      471        0.844        5.601            0      325.371      128.716      201.822
      472        0.818        5.601            0      323.994      135.311      194.356
      473        0.828        5.579            0      323.693      111.827      199.796
      474        0.751        5.621            0      324.047      112.753      201.906
      475        0.746        5.599            0      325.727      123.339      195.592
      476        0.774        5.617            0      324.960      117.864      200.196
      477        0.802        5.573            0      324.431      132.885      199.533
      478        0.839        5.538            0      323.517      129.885      206.910
      479        0.804        5.611            0      326.831      134.438      204.749
      480        0.762        5.556            0      321.759      128.953      200.658
      481        0.802        5.618            0      325.859      116.145      202.353
      482        0.858        5.628            0      323.759      142.921      201.518
      483        0.973        5.662            0      325.885      128.411      191.171
      484        0.747        5.605            0      325.274      130.087      199.145
      485        0.817        5.618            0      325.201      116.418      201.516
      486        0.800        5.620            0      326.245      126.547      203.725
      487        0.764        5.613            0      327.252      136.155      198.975
      488        0.822        5.648            0      323.219      129.979      199.591
      489        1.176        5.522            0      326.423      154.140      202.612
      490        0.856        5.592            0      326.152      132.918      199.859
      491        0.823        5.621            0      323.922      126.429      202.420
      492        0.864        5.688            0      325.770      111.418      200.346
      493        0.815        5.587            0      324.323      130.360      206.869
      494        0.896        5.597            0      325.979      139.662      200.764
      495        0.724        5.612            0      327.120      137.611      206.457
      496        0.682        5.557            0      325.541      134.568      204.895
      497        0.831        5.572            0      326.820      126.972      206.516
      498        0.759        5.587            0      326.121      130.475      205.526
      499        0.746        5.599            0      324.814      131.903      198.668
      500        0.886        5.618            0      324.931      133.154      198.979
      501        0.829        5.596            0      325.766      143.592      198.200
      502        0.720        5.634            0      324.656      132.928      194.111
      503        0.875        5.671            0      324.470      128.615      198.906
      504        0.845        5.582            0      325.508      139.572      197.986
      505        0.783        5.719            0      328.507      128.018      199.846
      506        0.826        5.652            0      326.763      126.922      200.639
      507        0.810        5.614            0      325.179      132.388      203.396
      508        0.866        5.553            0      323.581      138.891      198.313
      509        0.701        5.539            0      322.644      129.628      201.264
      510        0.854        5.657            0      327.401      135.245      201.224
      511        0.826        5.559            0      325.303      123.314      201.907
      512        0.792        5.598            0      325.853      143.056      205.533
      513        0.763        5.563            0      323.103      124.356      198.511
      514        0.768        5.641            0      325.953      121.849      205.307
      515        0.838        5.672            0      326.208      125.734      198.578
      516        0.756        5.625            0      326.353      119.684      198.606
      517        0.902        5.652            0      325.396      125.105      200.717
      518        0.816        5.679            0      325.735      117.824      204.212
      519        0.795        5.603            0      326.417      126.042      200.115
      520        0.767        5.542            0      325.400      122.332      207.105
      521        0.803        5.608            0      323.757      135.183      197.564
      522        0.804        5.612            0      326.224      125.944      201.132
      523        0.880        5.645            0      328.283      146.695      201.227
      524        0.757        5.564            0      323.845      122.028      201.036
      525        0.753        5.698            0      327.024      146.414      204.031
      526        0.777        5.620            0      325.849      132.518      203.310
      527        0.810        5.627            0      323.751      109.172      200.038
      528        0.915        5.615            0      325.903      149.763      198.573
      529        0.842        5.620            0      325.320      126.126      200.032
      530        0.746        5.587            0      325.530      115.086      203.241
      531        0.839        5.558            0      323.376      134.935      195.553
      532        0.837        5.605            0      323.730      120.447      194.960
      533        0.835        5.627            0      326.611      117.923      202.072
      534        0.732        5.647            0      325.317      128.209      198.394
      535        0.715        5.620            0      326.784      128.713      205.757
      536        0.791        5.586            0      326.382      125.221      197.346
      537        0.762        5.618            0      324.379      126.034      201.622
      538        0.731        5.577            0      327.249      133.863      206.214
      539        0.707        5.643            0      327.703      133.053      204.114
      540        0.817        5.591            0      324.700      147.230      199.158
      541        0.838        5.717            0      327.436      141.166      201.908
      542        0.880        5.660            0      324.649      117.010      198.400
      543        0.814        5.652            0      325.364      126.924      202.696
      544        0.970        5.641            0      323.909      153.506      193.930
      545        0.757        5.578            0      324.388      131.645      199.995
      546        0.738        5.586            0      325.064      139.696      202.888
      547        0.792        5.669            0      325.696      137.164      203.126
      548        0.807        5.602            0      325.903      134.162      198.392
      549        0.826        5.600            0      326.899      119.531      202.708
      550        0.846        5.636            0      325.422      129.299      199.671
      551        0.863        5.648            0      325.538      130.160      201.326
      552        0.786        5.676            0      327.086      116.431      200.194
      553        0.711        5.613            0      327.832      134.004      204.445
