## Torsion are defined with the following atomIDs:
# dihed1: ai= 6428 aj= 6429 ak= 6430 al= 12551
# dihed2: ai= 6410 aj= 6409 ak= 6408 al= 6407
# dihed3: ai= 6427 aj= 6411 ak= 6412 al= 6413
# dihed4: ai= 6412 aj= 6413 ak= 6414 al= 6416
# dihed5: ai= 6413 aj= 6414 ak= 6416 al= 6417
# dihed6: ai= 6414 aj= 6416 ak= 6417 al= 6418
# dihed7: ai= 6416 aj= 6417 ak= 6418 al= 6419
# dihed8: ai= 6417 aj= 6418 ak= 6419 al= 12543
# dihed9: ai= 6419 aj= 6418 ak= 6420 al= 6421
# dihed10: ai= 6422 aj= 6423 ak= 6424 al= 12546
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9  dihed10
109 -118.731  -85.476    9.557  172.489  168.504   71.619  -58.198  -10.555   89.059  -28.466
110  -43.977    4.476  -17.496 -154.400  168.841  157.254  -46.152   47.145  -48.516  -15.637
111  -14.886  -96.819  -15.601 -176.877  170.948 -163.551  -47.645   13.377  -61.644   -5.578
112   -2.506  -76.709   -1.433  152.907 -178.762 -110.888  -77.523   55.576  -57.290   -1.929
113  -13.023  -75.770  -18.002 -151.111  174.821  152.008  -49.712   67.668   -2.422   16.290
114   -9.617  -73.470  -17.208 -172.059 -177.750  -87.970  -64.928   51.451  -55.474   25.058
115  -18.051  -84.768  -10.274  161.337 -173.660 -105.581  -70.801   28.611  -58.431 -155.210
116 -176.956  -79.042  -12.614  156.444 -178.283  -74.833  -57.057   53.350  -63.255  159.092
117   22.397  -82.766  -19.501 -178.194  165.531  -81.046  -54.079   22.671 -110.559   -6.542
118   -5.862  -87.769   -7.960  169.463 -174.062  -83.279  -67.433   58.797 -109.013   32.180
119  -28.025  -82.485  -12.084  168.773  177.878  -91.572  -59.347    7.371  -74.926 -177.972
120  -58.925  -48.559  -21.734  172.386  177.469  -74.633  -36.125   49.715 -177.546 -172.896
121  -32.052  -92.582  -41.331  172.302  176.124  -45.138  -66.861   42.589 -125.146   20.482
122  -66.488  -99.207  -42.990 -160.440 -178.868 -103.905  -54.167   -3.698 -121.439  -13.017
123   -8.420  -83.808  -25.933 -149.824  174.824 -152.750  -65.289   53.595 -109.090    8.953
124   10.527  -61.497  -34.774 -168.237 -179.434  -92.106  -67.084    3.382 -134.997  -15.059
125    2.721  -75.197  -20.330 -153.930  167.470 -152.889  -58.601   61.476  -61.569  -22.099
126  -11.122  -83.121   -9.244 -161.758  173.665 -164.222  -57.270   59.922  -62.208 -168.671
127    2.508  -94.616  -27.361 -168.591 -177.066 -144.346  -49.661   53.314 -102.464   -5.207
128   -3.056 -109.243  -17.753 -165.755  168.514  -85.453  -69.042  169.291 -100.139  173.665
129   11.207 -110.599  -22.203 -154.019  178.706  -91.017  -58.911   35.406  146.896    7.678
130    1.827  -94.916  -34.155 -165.144  173.502  -67.718  -61.447   31.000 -114.877  -18.001
131  -17.804  -93.564  -21.446 -166.028  174.536  -88.434  -65.105   55.618  -86.378   14.253
132    9.098  -83.081  -31.030 -157.340  177.307 -156.490  -47.048   43.782  -52.065  -12.043
133    4.843  -93.997   -9.099  175.879  171.487 -137.186  -66.006   52.454  -76.806   -2.158
134   16.428 -101.589  -39.756 -168.156 -174.593 -109.585  -55.129   46.111  -95.537 -175.381
135  -11.816 -108.864  -15.362  171.486 -179.316  -62.762  -59.054   21.076 -109.340   17.670
136  -37.572 -102.122  -30.286 -166.190  175.402  -76.097  -58.183   52.142 -126.998  -23.765
137   -2.931 -100.242  -13.199 -175.759  176.369  -91.216  -53.776   21.136 -117.048  -22.702
138    7.652  -99.579  -28.140 -163.057  169.323  -86.592  -60.676   32.985 -106.886 -153.876
139  -16.101  -92.207   -8.353 -173.759  178.448 -138.363  -65.013   54.573  -58.488 -170.619
140   -6.601  -81.880    2.627  159.724 -171.038 -122.674  -53.779   21.654  -85.138 -157.325
141   -8.301 -105.917  -24.230 -171.301 -171.275  -91.852  -64.288   49.064  -65.663 -153.225
142   -2.036  -93.041  -36.247 -158.521 -169.544  -68.938  -68.892   78.917 -125.095   -0.839
143  -10.848 -101.052  -21.128  173.062 -172.526  -69.084  -64.497   47.771 -117.321  -10.949
